Date,Time,InstructorName,Minutes,Activity Type,Class,Title,TotalOutput,AvgWatts,AvgResistance,AvgCadence,AvgSpeed,Distance,Calories,AvgHR
11/18/19 0:00,5:52:00 PM,No Instructor,30,Cycling,Just Ride,30 min 2 sec Just Ride,171,77,0.34,57,12.81,7.87,224,112.84
11/19/19 0:00,6:02:00 PM,Christine D'Ercole,30,Cycling,Groove,30 min Rhythm Ride,154,86,0.37,78,14.88,7.44,196,116.01
11/20/19 0:00,5:41:00 PM,Matt Wilpers,30,Cycling,Climb,30 min Climb Ride,182,101,0.42,72,16.17,8.08,223,123.7
11/20/19 0:00,6:12:00 PM,Matt Wilpers,5,Cycling,Low Impact,5 min Cool Down Ride,25,84,0.33,88,15.12,1.26,35,120.3
11/22/19 0:00,3:01:00 PM,Hannah Marie Corbin,45,Cycling,Low Impact,45 min Low Impact Ride,221,82,0.38,72,14.83,11.12,255,108.33
11/22/19 0:00,3:47:00 PM,Hannah Marie Corbin,5,Cycling,Low Impact,5 min Cool Down Ride,23,77,0.38,70,14.46,1.2,25,102.08
11/23/19 0:00,11:55:00 AM,Christine D'Ercole,75,Cycling,Heart Rate Zone,75 min HRZ Endurance Ride,388,86,0.35,83,15.11,18.89,542,121.94
11/24/19 0:00,11:43:00 AM,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,464,86,0.36,82,15.1,22.64,745,131.11
11/24/19 0:00,1:13:00 PM,Matt Wilpers,5,Cycling,Low Impact,5 min Cool Down Ride,18,61,0.29,87,13.04,1.08,37,123.46
11/25/19 0:00,9:27:00 AM,Leanne Hainsby,20,Cycling,Intervals,20 min Tabata Ride,131,109,0.4,80,16.59,5.52,168,132.2
11/25/19 0:00,9:47:00 AM,Robin Arzon,5,Cycling,Low Impact,5 min Cool Down Ride,21,71,0.3,90,13.94,1.16,34,118.79
11/27/19 0:00,10:02:00 AM,Cody Rigsby,30,Cycling,Groove,30 min Rhythm,161,89,0.37,80,15.29,7.66,234,126.96
11/27/19 0:00,10:33:00 AM,Ben Alldis,5,Cycling,Low Impact,5 min Cool Down Ride,25,83,0.32,90,14.89,1.23,38,126.36
11/28/19 0:00,11:00:00 AM,Robin Arzon,45,Cycling,Theme,45 min Turkey Burn Ride,266,99,0.4,78,15.94,11.96,400,136.41
11/28/19 0:00,11:47:00 AM,Robin Arzon,20,Cycling,Theme,20 min 90s Pop Ride,107,89,0.36,83,15.3,5.09,181,138.07
11/28/19 0:00,12:09:00 PM,Leanne Hainsby,10,Cycling,Low Impact,10 min Cool Down Ride,55,93,0.4,74,15.6,2.59,88,135.64
11/29/19 0:00,2:26:00 PM,Matt Wilpers,45,Cycling,Low Impact,45 min Low Impact Ride,210,78,0.36,78,14.39,10.79,238,103.34
11/29/19 0:00,3:13:00 PM,Ben Alldis,15,Cycling,Climb,15 min Climb Ride,102,114,0.43,74,16.97,4.24,115,125.73
11/29/19 0:00,3:29:00 PM,Ben Alldis,5,Cycling,Low Impact,5 min Cool Down Ride,28,96,0.35,88,15.8,1.3,34,118.79
11/30/19 0:00,10:41:00 AM,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,250,92,0.36,85,15.61,11.7,344,125.73
11/30/19 0:00,11:28:00 AM,Denis Morton,10,Cycling,Low Impact,10 min Cool Down Ride,46,77,0.32,88,14.48,2.4,71,121.25
12/1/19 0:00,4:39:00 PM,Christine D'Ercole,60,Cycling,Climb,60 min Climb Ride,383,106,0.42,73,16.52,16.51,396,116.31
12/1/19 0:00,5:40:00 PM,Hannah Marie Corbin,5,Cycling,Low Impact,5 min Cool Down Ride,24,80,0.37,73,14.63,1.21,26,104.04
12/3/19 0:00,1:12:00 PM,Olivia Amato,30,Cycling,Low Impact,30 min Low Impact Ride,161,90,0.36,80,15.36,7.67,225,124.46
